date,long_deal_amount_外資,long_deal_amount_投信,long_deal_amount_自營商,long_deal_volume_外資,long_deal_volume_投信,long_deal_volume_自營商,long_open_interest_balance_amount_外資,long_open_interest_balance_amount_投信,long_open_interest_balance_amount_自營商,long_open_interest_balance_volume_外資,long_open_interest_balance_volume_投信,long_open_interest_balance_volume_自營商,short_deal_amount_外資,short_deal_amount_投信,short_deal_amount_自營商,short_deal_volume_外資,short_deal_volume_投信,short_deal_volume_自營商,short_open_interest_balance_amount_外資,short_open_interest_balance_amount_投信,short_open_interest_balance_amount_自營商,short_open_interest_balance_volume_外資,short_open_interest_balance_volume_投信,short_open_interest_balance_volume_自營商
2018-09-27,119288285,32954,32441161,54333,15,14775,127463718,5850144,17996230,58051,2664,8217,106042138,164698,32167874,48294,75,14653,45480866,56184550,18651356,20712,25585,8516
2018-09-28,129017210,17563,41650820,58734,8,18966,122103966,5630870,19930662,55738,2570,9119,140809067,791128,41227406,64106,361,18782,52066503,56624094,20106506,23765,25844,9202
2018-10-01,78662847,96822,26888359,35813,44,12235,127074800,5718718,23484008,57739,2598,10695,69027517,0,25510614,31426,0,11610,47056480,56852474,22292585,21379,25828,10155
2018-10-02,106945648,28354,44183205,48958,13,20233,111745399,5567872,24179119,51367,2559,11136,136540585,1068455,45033493,62485,491,20624,64442344,57151639,24470225,29620,26267,11275
2018-10-03,129056394,4342,38776587,59329,2,17833,115748066,5483441,17688102,53329,2526,8168,117884224,523317,44283535,54194,241,20362,57392651,57467488,23416749,26441,26473,10813
2018-10-04,121979598,10714,49729608,56775,5,23161,99557317,5235112,29003055,46542,2447,13574,157838381,839708,41818317,73439,392,19466,79842253,57295115,27056959,37322,26781,12673
2018-10-05,235998894,46280,89218858,111602,22,42236,100942349,5122574,34354645,48028,2437,16360,239111744,1242853,86743150,113103,588,41038,84746593,57462262,29855930,40319,27337,14232
2018-10-08,173303902,2051662,56904166,82819,980,27194,102655492,5815888,35571116,49058,2779,17013,175267700,392862,55821858,83759,188,26677,88497594,56269001,30058609,42289,26887,14392
2018-10-09,157410929,1559618,47099282,75191,745,22495,104037496,6169896,36689879,49732,2949,17553,158511912,14674,45791145,75713,7,21872,90973861,55064544,29825216,43484,26319,14284
2018-10-11,330848875,4934931,135992687,167011,2528,68888,108621715,6151039,39338580,56273,3186,20404,310418055,11635566,127483480,156596,5985,64564,76387411,57940828,24665176,39571,30013,12823
